number,title,url,state,created_at,closed_at
5685,feat(core): adjust member order,https://github.com/toeverything/AFFiNE/pull/5685,merged,2024-01-24T07:37:04Z,2024-01-24T12:53:36Z
5718,feat(core): add starAFFiNE and issueFeedback modal,https://github.com/toeverything/AFFiNE/pull/5718,merged,2024-01-26T05:43:33Z,2024-02-20T13:04:13Z
5733,feat(core): add history tips modal,https://github.com/toeverything/AFFiNE/pull/5733,merged,2024-01-29T07:27:27Z,2024-02-20T13:04:52Z
5752,refactor(core): use custom scrollbar for editor and adjust shared page style,https://github.com/toeverything/AFFiNE/pull/5752,merged,2024-01-31T06:15:49Z,2024-02-26T09:03:40Z
5761,"chore: replace ambiguous ""page"" with ""doc""",https://github.com/toeverything/AFFiNE/pull/5761,merged,2024-02-01T03:29:08Z,2024-02-21T12:56:45Z
5771,feat(core): support create cloud workspace,https://github.com/toeverything/AFFiNE/pull/5771,merged,2024-02-01T08:27:10Z,2024-02-23T06:28:47Z
5785,feat(core): add loading to quick search modal,https://github.com/toeverything/AFFiNE/pull/5785,merged,2024-02-02T06:53:58Z,2024-02-20T13:13:37Z
5840,fix(core): match page preview and page title in page list,https://github.com/toeverything/AFFiNE/pull/5840,merged,2024-02-20T04:52:02Z,2024-02-20T09:35:34Z
5854,chore: remove preloading pages,https://github.com/toeverything/AFFiNE/pull/5854,merged,2024-02-21T08:00:07Z,2024-02-21T13:08:47Z
5886,chore: replace pricing plan link,https://github.com/toeverything/AFFiNE/pull/5886,merged,2024-02-23T07:43:54Z,2024-02-23T08:38:57Z
5894,fix(core): handling error message when sending verify change email,https://github.com/toeverything/AFFiNE/pull/5894,merged,2024-02-23T10:14:34Z,2024-02-26T08:42:36Z
5906,chore: update i18n resources,https://github.com/toeverything/AFFiNE/pull/5906,merged,2024-02-26T06:24:12Z,2024-02-26T08:02:41Z
5974,fix(core): update src in video tag to correct URL,https://github.com/toeverything/AFFiNE/pull/5974,merged,2024-03-01T03:41:25Z,2024-03-01T04:45:39Z
5976,feat(core): separate runtimeConfig for e2e tests and deployment,https://github.com/toeverything/AFFiNE/pull/5976,merged,2024-03-01T05:44:25Z,2024-03-03T12:08:35Z
5998,feat(core): add tag operation to tag list,https://github.com/toeverything/AFFiNE/pull/5998,merged,2024-03-04T07:04:32Z,2024-03-11T08:45:42Z
6019,fix(core): unexpected line breaks,https://github.com/toeverything/AFFiNE/pull/6019,merged,2024-03-05T08:34:10Z,2024-03-05T10:10:53Z
6033,fix(core): disable doc info and backlinks in readonly mode,https://github.com/toeverything/AFFiNE/pull/6033,merged,2024-03-06T07:50:45Z,2024-03-06T10:16:41Z
6065,fix(electron): invalid isLinux function,https://github.com/toeverything/AFFiNE/pull/6065,merged,2024-03-11T12:58:26Z,2024-03-12T02:17:53Z
6070,fix(core): cannot scroll when dragging,https://github.com/toeverything/AFFiNE/pull/6070,merged,2024-03-12T04:12:53Z,2024-03-12T05:52:53Z
